Prestador,Cliente,Atenciones
P5086626,C58295318,1
P5086707,C1211289,1
P5086845,C73649,1
P5086855,C1090581,1
P5086856,C58292630,1
P5086878,C86118,1
P5086878,C58293993,1
P5086896,C58344826,1
P5086945,C5195108,1
P5086954,C7091568,1
P5086983,C526107,1
P5086983,C20219621,1
P5087052,C71145,1
P5087145,C572539,1
P5087145,C58743933,1
P5087155,C143574,1
P5087204,C5296994,1
P5087269,C5210994,1
P5087271,C761498,1
P5087303,C924759,1
P5087315,C117773,1
P5087315,C396526,1
P5087315,C949514,1
P5087315,C1205830,1
P5087317,C58317805,1
P5087378,C983287,1
P5087379,C419661,1
P5087384,C810256,1
P5087416,C875870,1
P5087647,C1259037,1
P5087706,C1066402,1
P5087706,C20074345,1
P5087727,C1059224,1
P5087728,C58331391,1
P5087738,C364733,1
P5087738,C526107,1
P5087748,C680071,1
P5087748,C924759,1
P5087764,C796046,1
P5087781,C396526,1
P5087855,C429609,1
P5087855,C737075,1
P5087945,C532103,1
P5087945,C848691,1
P5087945,C1007199,1
P5087945,C1258846,1
P5087945,C1272306,1
P5087945,C58282405,1
P5087945,C58321629,1
P5087945,C59920058,1
P5087986,C2470,1
P5087986,C77100,1
P5087986,C183141,1
P5087986,C435655,1
P5087986,C705022,1
P5087986,C730436,1
P5087986,C974159,1
P5087986,C1157465,1
P5087986,C1157466,1
P5087986,C1213382,1
P5087986,C5182970,1
P5087986,C5422262,1
P5087986,C58300484,1
P5088102,C98623,1
P5088145,C942822,1
P5088359,C392188,1
P5088525,C76511,1
P5088578,C63706,1
P5088578,C5279989,1
P5088780,C77355,1
P5088803,C806917,1
P5088865,C80805,1
P5088928,C5296994,1
P5088975,C24650322,1
P5089060,C179818,1
P5089120,C20213535,1
P5089215,C95277,1
P5089215,C985810,1
P5089328,C944863,1
P5089475,C20219621,1
P5089665,C794368,1
P5089728,C137618,1
P5089807,C733322,1
P5089848,C58316954,1
P5089944,C58744803,1
P5090315,C733322,1
P5090504,C58331391,1
P5091145,C58334215,1
P5091238,C58745020,1
P5091612,C58278832,1
P5091629,C485238,1
P5091629,C20040837,1
P5091629,C58317805,1
P5091629,C58343134,1
P5091629,C58750904,1
P5092639,C5109964,1
P5093068,C1163816,1
P5093468,C1059224,1
P5093469,C58330732,1
P5093574,C538334,1
P5093963,C454643,1
P5093970,C454643,1
P5094231,C58278832,1
P5094251,C1171751,1
P5094404,C581336,1
P5094502,C71145,1
P5094714,C533859,1
P5094750,C80805,1
P5094750,C179417,1
P5094750,C5210994,1
P5094862,C20227594,1
P5094863,C58317805,1
P5094949,C428109,1
P5094966,C58301580,1
P5095569,C872911,1
P5096306,C117775,1
P5096508,C5563380,1
