QVD.LR04.numero-convenio;QVD.LR02.persona-numero;count(distinct[QVD.LR02.CruceLR02])
6942;1163887;2
6948;561243;2
7054;806131;2
7526;58294760;2
7583;740555;2
7613;1055918;2
7742;476151;2
8084;526107;2
8236;58303945;2
8640;20227594;2
8640;58279011;2
9244;80805;2
9255;572912;2
9457;454643;2
9577;8000526;2
9906;20227594;2
10503;654107;2
10741;857257;2
11099;7068188;2
11378;20213535;2
11588;1176929;2
11950;58312456;2
12024;804939;2
12088;383807;2
12284;58278230;2
13037;5109964;2
13104;122922;2
13104;963734;2
13104;1157466;2
13104;58293993;2
13538;948354;2
14635;95276;2
14635;95278;2
14635;95285;2
14635;95289;2
15019;1016573;2
15064;1323992;2
15064;5286513;2
15382;110254;2
15404;73649;2
15732;1027405;2
16105;1257665;2
16161;793036;2
16400;1219153;2
16501;5109964;2
16584;58753005;2
16678;86118;2
17547;476041;2
17762;58307387;2
18327;122922;2
18327;764137;2
51256;431622;2
52058;810256;2
55230;63706;2
57189;58307289;2
59635;747071;2
59635;5324868;2
65778;1273142;2
67684;5195108;2
69151;5195108;2
69214;58290988;2
69406;5195108;2
5018378;117775;2
5018743;1175716;2
5018743;1205830;2
5019482;143574;2
5044769;735875;2
5045183;58301544;2
5045409;764137;2
5045571;80684;2
5045580;79254;2
5045596;58745020;2
5045607;403490;2
5045607;454643;2
5045607;58317642;2
5045727;20211518;2
5045765;538338;2
5045901;1169666;2
5082303;581566;2
5082303;1253317;2
5082430;1112218;2
5082771;143574;2
5083093;521008;2
5083125;987877;2
5083202;1059224;2
5083407;396539;2
5083794;636919;2
5083794;1211289;2
5083794;59920058;2
5083937;24650322;2
5084059;174116;2
5084206;58324124;2
5084234;95278;2
5084234;95279;2
5084234;613940;2
5084638;58301544;2
5085333;7105006;2
5085492;58312456;2
5085536;476041;2
5085643;20227594;2
5085679;117354;2
5085679;145974;2
5085679;149173;2
5085679;157968;2
5085679;167317;2
5085679;179417;2
5085679;425373;2
5085679;436529;2
5085679;436917;2
5085679;452870;2
5085679;566091;2
5085679;572912;2
5085679;573419;2
5085679;581566;2
5085679;618167;2
5085679;620215;2
5085679;670565;2
5085679;680071;2
5085679;730435;2
5085679;730436;2
5085679;737075;2
5085679;740552;2
5085679;756532;2
5085679;761498;2
5085679;773568;2
5085679;773571;2
5085679;784035;2
5085679;810256;2
5085679;827362;2
5085679;829555;2
5085679;846177;2
5085679;866525;2
5085679;867409;2
5085679;940615;2
5085679;941977;2
5085679;967851;2
5085679;981121;2
5085679;1010098;2
5085679;1013799;2
5085679;1016573;2
5085679;1058599;2
5085679;1059243;2
5085679;1083437;2
5085679;1119034;2
5085679;1136753;2
5085679;1143665;2
5085679;1193382;2
5085679;1213382;2
5085679;1241245;2
5085679;1273145;2
5085679;1276875;2
5085679;1305442;2
5085679;1323992;2
5085679;1326875;2
5085679;5021073;2
5085679;5286513;2
5085679;5314119;2
5085679;5349774;2
5085679;5357762;2
5085679;5571875;2
5085679;7090494;2
5085679;7091567;2
5085679;7091568;2
5085679;20197007;2
5085679;58278741;2
5085679;58292630;2
5085679;58293993;2
5085679;58294760;2
5085679;58301544;2
5085679;58307289;2
5085679;58307387;2
5085679;58309313;2
5085679;58311329;2
5085679;58315856;2
5085679;58316082;2
5085679;58320181;2
5085679;58321553;2
5085679;58328912;2
5085679;58333649;2
5085679;58338489;2
5085679;58745920;2
5085679;58747319;2
5085679;58747708;2
5085679;58753005;2
5085679;58755775;2
5085679;59420213;2
5085711;1275687;2
5085959;58301580;2
5086155;1268449;2
5086308;549670;2
5086308;58307658;2
5086318;796046;2
5086318;1036835;2
5086500;20227594;2
5086866;68668;2
5086878;1119034;2
5087155;521008;2
5087265;1254712;2
5087265;20074345;2
5087818;1327094;2
5088355;58334215;2
5088803;58745020;2
5090347;63706;2
5090484;60214246;2
5090502;5136727;2
5091276;1055918;2
5091629;521008;2
5091651;375450;2
5092657;58290544;2
5092777;358392;2
5092816;1090313;2
5094448;537865;2
5094986;864147;2
5095295;1323992;2
5095715;60214246;2
5096055;864147;2
5096524;1167587;2
370;20219621;1
396;875870;1
396;58745020;1
419;1275687;1
419;5324868;1
426;1161028;1
433;375450;1
435;79254;1
435;681396;1
442;499952;1
442;585892;1
442;1254543;1
447;797413;1
463;58741267;1
468;86118;1
468;143574;1
468;507018;1
468;784035;1
530;378028;1
541;64018;1
541;117773;1
541;1016573;1
541;1272306;1
544;58321553;1
603;143574;1
636;1083915;1
667;919695;1
667;1199754;1
676;123630;1
676;1090581;1
676;20211518;1
689;76147;1
698;58321629;1
718;77355;1
718;5279989;1
725;58324124;1
727;423445;1
727;1090581;1
741;1119034;1
744;1171751;1
745;68999;1
745;476151;1
745;24650322;1
751;769163;1
755;137618;1
755;568423;1
755;1338590;1
756;796046;1
756;58316035;1
756;58321553;1
762;532103;1
766;68668;1
772;1036357;1
795;574187;1
795;654107;1
795;58292630;1
796;185888;1
798;1338590;1
799;117354;1
803;375450;1
817;95289;1
817;872911;1
822;1174752;1
832;85110;1
836;867409;1
836;963734;1
838;68999;1
838;1202003;1
838;1295997;1
840;26241;1
843;1083437;1
845;1237315;1
849;63706;1
849;8000526;1
867;68668;1
867;69070;1
874;95278;1
874;810256;1
874;1090313;1
874;1171751;1
874;5279989;1
885;1066402;1
888;1135391;1
892;735875;1
