QVD.LR04.numero-convenio;QVD.LR02.persona-numero;count(distinct[QVD.LR02.CruceLR02])
5085679;942822;1
5085679;944220;1
5085679;944746;1
5085679;944863;1
5085679;963734;1
5085679;985810;1
5085679;987882;1
5085679;994900;1
5085679;1003358;1
5085679;1007199;1
5085679;1016572;1
5085679;1019369;1
5085679;1027405;1
5085679;1030745;1
5085679;1035954;1
5085679;1036357;1
5085679;1036835;1
5085679;1044767;1
5085679;1047340;1
5085679;1059124;1
5085679;1059224;1
5085679;1067413;1
5085679;1083481;1
5085679;1083915;1
5085679;1090313;1
5085679;1090332;1
5085679;1090581;1
5085679;1096929;1
5085679;1117358;1
5085679;1133675;1
5085679;1145241;1
5085679;1146066;1
5085679;1150484;1
5085679;1153459;1
5085679;1153713;1
5085679;1163816;1
5085679;1165466;1
5085679;1166455;1
5085679;1168457;1
5085679;1168829;1
5085679;1168839;1
5085679;1171751;1
5085679;1171845;1
5085679;1171853;1
5085679;1174752;1
5085679;1175716;1
5085679;1176929;1
5085679;1178750;1
5085679;1182426;1
5085679;1186336;1
5085679;1190172;1
5085679;1192147;1
5085679;1202003;1
5085679;1219153;1
5085679;1224494;1
5085679;1232015;1
5085679;1233402;1
5085679;1241928;1
5085679;1242017;1
5085679;1247325;1
5085679;1253317;1
5085679;1254543;1
5085679;1259037;1
5085679;1260914;1
5085679;1264439;1
5085679;1269043;1
5085679;1272845;1
5085679;1284768;1
5085679;1284863;1
5085679;1295997;1
5085679;1304214;1
5085679;1315095;1
5085679;1321540;1
5085679;1323205;1
5085679;1327094;1
5085679;1331263;1
5085679;1338590;1
5085679;1366141;1
5085679;5109964;1
5085679;5149499;1
5085679;5150843;1
5085679;5166050;1
5085679;5195016;1
5085679;5195108;1
5085679;5210994;1
5085679;5226237;1
5085679;5334312;1
5085679;5337755;1
5085679;5354932;1
5085679;5366893;1
5085679;5385286;1
5085679;5470798;1
5085679;5531321;1
5085679;5556665;1
5085679;5582811;1
5085679;5604669;1
5085679;5616746;1
5085679;7038337;1
5085679;7061967;1
5085679;7068188;1
5085679;7104053;1
5085679;7104625;1
5085679;7153786;1
5085679;7167029;1
5085679;20003951;1
5085679;20018526;1
5085679;20025715;1
5085679;20040837;1
5085679;20155487;1
5085679;20175417;1
5085679;20207524;1
5085679;20211518;1
5085679;58278699;1
5085679;58278744;1
5085679;58279053;1
5085679;58279724;1
5085679;58289306;1
5085679;58290095;1
5085679;58292277;1
5085679;58296060;1
5085679;58300640;1
5085679;58302033;1
5085679;58302452;1
5085679;58302952;1
5085679;58302953;1
5085679;58303945;1
5085679;58306850;1
5085679;58308899;1
5085679;58310060;1
5085679;58310073;1
5085679;58314047;1
5085679;58317595;1
5085679;58317805;1
5085679;58319913;1
5085679;58320255;1
5085679;58321114;1
5085679;58321524;1
5085679;58324016;1
5085679;58324523;1
5085679;58325948;1
5085679;58326218;1
5085679;58328979;1
5085679;58329278;1
5085679;58330732;1
5085679;58331246;1
5085679;58331391;1
5085679;58334215;1
5085679;58336406;1
5085679;58337024;1
5085679;58337854;1
5085679;58338370;1
5085679;58338723;1
5085679;58339056;1
5085679;58341689;1
5085679;58343134;1
5085679;58344826;1
5085679;58345031;1
5085679;58345507;1
5085679;58741267;1
5085679;58742106;1
5085679;58743933;1
5085679;58744188;1
5085679;58744191;1
5085679;58744803;1
5085679;58746854;1
5085679;58747995;1
5085679;58749695;1
5085679;58749696;1
5085679;58750904;1
5085679;58752517;1
5085679;58752815;1
5085679;58753145;1
5085679;58754557;1
5085679;58754915;1
5085679;59420498;1
5085679;59920058;1
5085679;60209370;1
5085679;60212196;1
5085679;60214039;1
5085711;764137;1
5085711;791522;1
5085711;794368;1
5085711;1165466;1
5085812;2470;1
5085842;944746;1
5085842;5195108;1
5085842;5210994;1
5085863;1112218;1
5085932;95277;1
5085959;364733;1
5086064;987877;1
5086064;1182426;1
5086072;58321539;1
5086152;58344826;1
5086288;764137;1
5086288;1165466;1
5086308;561243;1
5086318;59920058;1
5086320;73649;1
5086320;58341193;1
5086324;730436;1
5086510;58325948;1
5086527;628594;1
5086554;78531;1
5086626;58295318;1
5086707;1211289;1
5086845;73649;1
5086855;1090581;1
5086856;58292630;1
5086878;86118;1
5086878;58293993;1
5086896;58344826;1
5086945;5195108;1
5086954;7091568;1
5086983;526107;1
5086983;20219621;1
5087052;71145;1
5087145;572539;1
5087145;58743933;1
5087155;143574;1
5087204;5296994;1
5087269;5210994;1
5087271;761498;1
5087303;924759;1
5087315;117773;1
5087315;396526;1
5087315;949514;1
5087315;1205830;1
5087317;58317805;1
5087378;983287;1
5087379;419661;1
5087384;810256;1
5087416;875870;1
5087647;1259037;1
5087706;1066402;1
5087706;20074345;1
5087727;1059224;1
5087728;58331391;1
5087738;364733;1
5087738;526107;1
5087748;680071;1
5087748;924759;1
5087764;796046;1
5087781;396526;1
5087855;429609;1
5087855;737075;1
5087945;532103;1
5087945;848691;1
5087945;1007199;1
5087945;1258846;1
5087945;1272306;1
5087945;58282405;1
5087945;58321629;1
5087945;59920058;1
5087986;2470;1
5087986;77100;1
5087986;183141;1
5087986;435655;1
5087986;705022;1
5087986;730436;1
5087986;974159;1
5087986;1157465;1
5087986;1157466;1
5087986;1213382;1
5087986;5182970;1
5087986;5422262;1
5087986;58300484;1
5088102;98623;1
5088145;942822;1
5088359;392188;1
5088525;76511;1
5088578;63706;1
5088578;5279989;1
5088780;77355;1
5088803;806917;1
5088865;80805;1
5088928;5296994;1
5088975;24650322;1
5089060;179818;1
5089120;20213535;1
5089215;95277;1
5089215;985810;1
5089328;944863;1
5089475;20219621;1
5089665;794368;1
5089728;137618;1
5089807;733322;1
5089848;58316954;1
5089944;58744803;1
5090315;733322;1
5090504;58331391;1
5091145;58334215;1
5091238;58745020;1
5091612;58278832;1
5091629;485238;1
5091629;20040837;1
5091629;58317805;1
5091629;58343134;1
5091629;58750904;1
5092639;5109964;1
5093068;1163816;1
5093468;1059224;1
5093469;58330732;1
5093574;538334;1
5093963;454643;1
5093970;454643;1
5094231;58278832;1
5094251;1171751;1
5094404;581336;1
5094502;71145;1
5094714;533859;1
5094750;80805;1
5094750;179417;1
5094750;5210994;1
5094862;20227594;1
5094863;58317805;1
5094949;428109;1
5094966;58301580;1
5095569;872911;1
5096306;117775;1
5096508;5563380;1
