character,degree
"""Armen""",6
"""Barbrey-Dustin""",6
"""Meris""",6
"""Mirri-Maz-Duur""",6
"""Narbert-Grandison""",6
"""Obara-Sand""",6
"""Paxter-Redwyne""",6
"""Pylos""",6
"""Rast""",6
"""Spotted-Cat""",6
"""Tallad""",6
"""Vardis-Egen""",6
"""Willis-Wode""",6
"""Varamyr""",6
"""Small-Paul""",6
"""Spare-Boot""",6
"""Wex-Pyke""",5
"""Walton""",5
"""Tytos-Blackwood""",5
"""Qezza""",5
"""Walder-Rivers""",5
"""Weeper""",5
"""Dagmer""",5
"""Damon-Dance-for-Me""",5
"""Dick-Crabb""",5
"""Elinor-Tyrell""",5
"""Emmett""",5
"""Gerold-Dayne""",5
"""Gilwood-Hunter""",5
"""Jack-Bulwer""",5
"""Jalabhar-Xho""",5
"""Jaremy-Rykker""",5
"""Jeyne-Westerling""",5
"""Jocelyn-Swyft""",5
"""Justin-Massey""",5
"""Khrazz""",5
"""Leathers""",5
"""Leo-Tyrell""",5
"""Lothor-Brune""",5
"""Lyanna-Stark""",5
"""Maddy""",5
"""Maege-Mormont""",5
"""Roslin-Frey""",5
"""Rowan""",5
"""Salladhor-Saan""",5
"""Skinner""",5
"""Stevron-Frey""",5
"""Sylva-Santagar""",5
"""Symond-Templeton""",5
"""Woth""",5
"""Lyle-Crakehall""",5
"""Vayon-Poole""",5
"""Meribald""",5
"""Mikken""",5
"""Moqorro""",5
"""Mya-Stone""",5
"""Mycah""",5
"""Quaro""",5
"""Reznak-mo-Reznak""",5
"""Alla-Tyrell""",5
"""Alyn""",5
"""Andrey-Dalt""",5
"""Arnolf-Karstark""",5
"""Arthur-Dayne""",5
"""Bedwyck""",5
"""Benedar-Belmore""",5
"""Biter""",5
"""Blue-Bard""",5
"""Bryce-Caron""",5
"""Caggo""",5
"""Cletus-Yronwood""",5
"""Yezzan-zo-Qaggaz""",5
"""Wun-Weg-Wun-Dar-Wun""",4
"""Willem-Lannister""",4
"""Helman-Tallhart""",4
"""Hero""",4
"""High-Septon-(Tyrions)""",4
"""Holly""",4
"""Horton-Redfort""",4
"""Hosteen-Frey""",4
"""Hother-Umber""",4
"""Hotho-Harlaw""",4
"""Karyl-Vance""",4
"""Lamprey""",4
"""Lewyn-Martell""",4
"""Lyn-Corbray""",4
"""Stafford-Lannister""",4
"""Timeon""",4
"""Melara-Hetherspoon""",4
"""Robert-Strong""",4
"""Unella""",4
"""Pono""",4
"""Wyl-(guard)""",4
"""Todder""",4
"""Tysha""",4
"""Zollo""",4
"""Coldhands""",4
"""Desmond-Grell""",4
"""Ebben""",4
"""Edwyn-Frey""",4
"""Falyse-Stokeworth""",4
"""Goghor-the-Giant""",4
"""Gretchel""",4
"""Grimtongue""",4
"""Aegon-Frey-(son-of-Stevron)""",4
"""Aenys-Frey""",4
"""Aggar""",4
"""Alayaya""",4
"""Alebelly""",4
"""Archibald-Yronwood""",4
"""Baelor-Blacktyde""",4
"""Belaquo""",4
"""Benerro""",4
"""Benfred-Tallhart""",4
"""Bloodbeard""",4
"""Caleotte""",4
"""Cellador""",4
"""Cohollo""",4
"""Ryk""",4
"""Sharna""",4
"""Sigorn""",4
"""Squirrel""",4
"""Stonesnake""",4
"""Syrio-Forel""",4
"""Timett""",4
"""Weasel""",4
"""Roone""",4
"""Mero""",4
"""Malegorn""",4
"""Megga-Tyrell""",4
"""Mollander""",4
"""Moon-Boy""",4
"""Mors-Umber""",4
"""Nurse""",4
"""Nute""",4
"""Nymeria-Sand""",4
"""Ottyn-Wythers""",4
"""Patchface""",4
"""Patrek-of-Kings-Mountain""",4
"""Pia""",4
"""Pyg""",4
"""Marwyn""",3
"""Miklaz""",3
"""Moelle""",3
"""Monford-Velaryon""",3
"""Myranda-Royce""",3
"""Osfryd-Kettleblack""",3
"""Qarl-the-Maid""",3
"""Qavo-Nogarys""",3
"""Raynald-Westerling""",3
"""Robin-Flint""",3
"""Tristifer-Botley""",3
"""Tycho-Nestoris""",3
"""Porridge""",3
"""Steelskin""",3
"""Xaro-Xhoan-Daxos""",3
"""Narbert""",3
"""Robar-Royce""",3
"""Vyman""",3
"""Utherydes-Wayn""",3
"""Torrhen-Karstark""",3
"""Ogo""",3
"""Terrance-Lynderly""",3
"""Oswell-Whent""",3
"""Yellow-Dick""",3
"""Harren-Hoare""",3
"""Harrold-Hardyng""",3
"""Harry-Strickland""",3
"""High-Septon-(fat_one)""",3
"""Hop-Robin""",3
"""Jared-Frey""",3
"""Jarman-Buckwell""",3
"""Jason-Mallister""",3
"""Kasporio""",3
"""Khorane-Sathmantes""",3
"""Lambert-Turnberry""",3
"""Leobald-Tallhart""",3
"""Scolera""",3
"""Squint""",3
"""Stygg""",3
"""Sweets""",3
"""Symon-Silver-Tongue""",3
"""Toregg""",3
"""Tybero-Istarion""",3
"""Walder-Frey-(son-of-Jammos)""",3
"""Waymar-Royce""",3
"""Red-Oarsman""",3
"""Conn""",3
"""Creighton-Longbough""",3
"""Cutjack""",3
"""Dacey-Mormont""",3
"""Dalbridge""",3
"""Danwell-Frey""",3
"""Daven-Lannister""",3
"""Dunstan-Drumm""",3
"""Elder-Brother""",3
"""Emmon-Cuy""",3
"""Emrick""",3
"""Eon-Hunter""",3
"""Errok""",3
"""Franklyn-Flowers""",3
"""Gared""",3
"""Garth-Greyfeather""",3
"""Genna-Lannister""",3
"""Grazhar""",3
"""Grigg""",3
"""Grunt""",3
"""Hairy-Hal""",3
"""Albett""",3
"""Allard-Seaworth""",3
"""Alys-Karstark""",3
"""Alysane-Mormont""",3
"""Amerei-Frey""",3
"""Andrew-Estermont""",3
"""Arron""",3
"""Baelor-I-Targaryen""",3
"""Ballabar""",3
"""Balman-Byrch""",3
"""Beth-Cassel""",3
"""Brea""",3
"""Brus-Buckler""",3
"""Cayn""",3
"""Chella""",3
"""Chiggen""",3
"""Clayton-Suggs""",3
"""Cleon""",3
"""Cley-Cerwyn""",3
"""Alerie-Hightower""",2
"""Allar-Deem""",2
"""Alys-Arryn""",2
"""Amabel""",2
"""Anders-Yronwood""",2
"""Bannen""",2
"""Ben-Bones""",2
"""Benethon-Scales""",2
"""Big-Boil""",2
"""Brandon-Norrey""",2
"""Brella""",2
"""Brynden-Rivers""",2
"""Butterbumps""",2
"""Cedra""",2
"""Chayle""",2
"""Clement-Piper""",2
"""Clubfoot-Karl""",2
"""Urzen""",2
"""Trystane-Martell""",2
"""Xhondo""",2
"""Rollam-Westerling""",2
"""Steffon-Baratheon""",2
"""Walda-Frey-(daughter-of-Merrett)""",2
"""Werlag""",2
"""Maggy""",2
"""Marlon-Manderly""",2
"""Marselen""",2
"""Martyn-Lannister""",2
"""Marya-Seaworth""",2
"""Meldred-Merlyn""",2
"""Mellei""",2
"""Merrett-Frey""",2
"""Mezzara""",2
"""Morrec""",2
"""Murenmure""",2
"""Olyvar-Frey""",2
"""Orell""",2
"""Oswell-Kettleblack""",2
"""Palla""",2
"""Perwyn-Frey""",2
"""Petyr-Frey""",2
"""Prendahl-na-Ghezn""",2
"""Preston-Greenfield""",2
"""Puckens""",2
"""Pyat-Pree""",2
"""Quellon-Greyjoy""",2
"""Quhuru-Mo""",2
"""Ralf-Stonehouse""",2
"""Raymun-Darry""",2
"""Raynard""",2
"""Rennifer-Longwaters""",2
"""Rhaegar-Frey""",2
"""Rhaella-Targaryen""",2
"""Rhaenys-Targaryen""",2
"""Richard-Horpe""",2
"""Rodrik-Sparr""",2
"""Oznak-zo-Pahl""",2
"""Mariya-Darry""",2
"""Wick-Whittlestick""",2
"""Howland-Reed""",2
"""Reek""",2
"""Rickard-Stark""",2
"""Stiv""",2
"""Illifer""",2
"""Willow-Heddle""",2
"""Robin-Ryger""",2
"""Senelle""",2
"""Vylarr""",2
"""Ghael""",2
"""Shadrich""",2
"""Sallor""",2
"""Symon-Stripeback""",2
"""Mag-Mar-Tun-Doh-Weg""",2
"""Willam-Dustin""",2
"""Forley-Prester""",2
"""Will-(prologue)""",2
"""Walgrave""",2
"""Rory""",2
"""Myles-Toyne""",2
"""Sigfryd-Harlaw""",2
"""Ronnet-Connington""",2
"""Wylis-Manderly""",2
"""Nyessos-Vhassar""",2
"""Colen-of-Greenpools""",2
"""Cromm""",2
"""Daemon-Sand""",2
"""Daryn-Hornwood""",2
"""Denyo-Terys""",2
"""Desmond""",2
